fname,label
0_Agnes_100.wav,Agnes
0_Agnes_120.wav,Agnes
0_Agnes_140.wav,Agnes
0_Agnes_160.wav,Agnes
0_Agnes_180.wav,Agnes
0_Agnes_200.wav,Agnes
0_Agnes_220.wav,Agnes
0_Agnes_240.wav,Agnes
0_Agnes_260.wav,Agnes
0_Agnes_280.wav,Agnes
0_Alex_100.wav,Alex
0_Alex_120.wav,Alex
0_Alex_140.wav,Alex
0_Alex_160.wav,Alex
0_Alex_180.wav,Alex
0_Alex_200.wav,Alex
0_Alex_220.wav,Alex
0_Alex_240.wav,Alex
0_Alex_260.wav,Alex
0_Alex_280.wav,Alex
0_Bruce_100.wav,Bruce
0_Bruce_120.wav,Bruce
0_Bruce_140.wav,Bruce
0_Bruce_160.wav,Bruce
0_Bruce_180.wav,Bruce
0_Bruce_200.wav,Bruce
0_Bruce_220.wav,Bruce
0_Bruce_240.wav,Bruce
0_Bruce_260.wav,Bruce
0_Bruce_280.wav,Bruce
0_Daniel_100.wav,Daniel
0_Daniel_120.wav,Daniel
0_Daniel_140.wav,Daniel
0_Daniel_160.wav,Daniel
0_Daniel_180.wav,Daniel
0_Daniel_200.wav,Daniel
0_Daniel_220.wav,Daniel
0_Daniel_240.wav,Daniel
0_Daniel_260.wav,Daniel
0_Daniel_280.wav,Daniel
0_Fred_100.wav,Fred
0_Fred_120.wav,Fred
0_Fred_140.wav,Fred
0_Fred_160.wav,Fred
0_Fred_180.wav,Fred
0_Fred_200.wav,Fred
0_Fred_220.wav,Fred
0_Fred_240.wav,Fred
0_Fred_260.wav,Fred
0_Fred_280.wav,Fred
0_Junior_100.wav,Junior
0_Junior_120.wav,Junior
0_Junior_140.wav,Junior
0_Junior_160.wav,Junior
0_Junior_180.wav,Junior
0_Junior_200.wav,Junior
0_Junior_220.wav,Junior
0_Junior_240.wav,Junior
0_Junior_260.wav,Junior
0_Junior_280.wav,Junior
0_Kathy_180.wav,Kathy
0_Kathy_200.wav,Kathy
0_Kathy_220.wav,Kathy
0_Kathy_240.wav,Kathy
0_Kathy_260.wav,Kathy
0_Kathy_280.wav,Kathy
0_Kathy_300.wav,Kathy
0_Kathy_320.wav,Kathy
0_Kathy_340.wav,Kathy
0_Kathy_360.wav,Kathy
0_Princess_120.wav,Princess
0_Princess_140.wav,Princess
0_Princess_160.wav,Princess
0_Princess_180.wav,Princess
0_Princess_200.wav,Princess
0_Princess_220.wav,Princess
0_Princess_240.wav,Princess
0_Princess_260.wav,Princess
0_Princess_280.wav,Princess
0_Princess_300.wav,Princess
0_Samantha_100.wav,Samantha
0_Samantha_120.wav,Samantha
0_Samantha_140.wav,Samantha
0_Samantha_160.wav,Samantha
0_Samantha_180.wav,Samantha
0_Samantha_200.wav,Samantha
0_Samantha_220.wav,Samantha
0_Samantha_240.wav,Samantha
0_Samantha_260.wav,Samantha
0_Samantha_280.wav,Samantha
0_Vicki_100.wav,Vicki
0_Vicki_120.wav,Vicki
0_Vicki_140.wav,Vicki
0_Vicki_160.wav,Vicki
0_Vicki_180.wav,Vicki
0_Vicki_200.wav,Vicki
0_Vicki_220.wav,Vicki
0_Vicki_240.wav,Vicki
0_Vicki_260.wav,Vicki
0_Vicki_280.wav,Vicki
